date,sku,quantity,unit_price,channel,region
2025-10-01,WH-TOOL-1001,45,29.99,online,northeast
2025-10-01,WH-ELEC-2050,12,149.99,retail,southeast
2025-10-01,WH-ELEC-2051,22,199.99,online,northeast
2025-10-01,WH-SAFE-4001,24,34.99,wholesale,midwest
2025-10-01,WH-OUTD-3001,40,89.99,retail,west
2025-10-07,WH-TOOL-1001,47,29.99,online,northeast
2025-10-07,WH-TOOL-1002,18,54.99,retail,southeast
2025-10-07,WH-ELEC-2050,18,149.99,online,northeast
2025-10-07,WH-ELEC-2051,28,199.99,online,northeast
2025-10-07,WH-SAFE-4001,20,34.99,wholesale,midwest
2025-10-07,WH-OUTD-3002,35,49.99,retail,southwest
2025-10-14,WH-TOOL-1001,42,29.99,online,northeast
2025-10-14,WH-TOOL-1003,20,79.99,retail,west
2025-10-14,WH-ELEC-2050,22,149.99,retail,northeast
2025-10-14,WH-ELEC-2051,31,199.99,online,northeast
2025-10-14,WH-SAFE-4001,22,34.99,retail,northeast
2025-10-14,WH-SAFE-4002,12,89.99,wholesale,midwest
2025-10-21,WH-TOOL-1001,46,29.99,online,northeast
2025-10-21,WH-ELEC-2050,28,149.99,online,northeast
2025-10-21,WH-ELEC-2051,38,199.99,marketplace,northeast
2025-10-21,WH-OUTD-3001,32,89.99,retail,west
2025-10-28,WH-TOOL-1001,44,29.99,retail,southeast
2025-10-28,WH-TOOL-1002,16,54.99,online,midwest
2025-10-28,WH-ELEC-2050,35,149.99,retail,northeast
2025-10-28,WH-ELEC-2051,45,199.99,online,northeast
2025-10-28,WH-SAFE-4001,25,34.99,wholesale,midwest
2025-11-01,WH-TOOL-1001,48,29.99,online,northeast
2025-11-01,WH-ELEC-2050,42,149.99,retail,northeast
2025-11-01,WH-ELEC-2051,55,199.99,online,northeast
2025-11-01,WH-SAFE-4001,21,34.99,retail,midwest
2025-11-01,WH-OUTD-3001,22,89.99,retail,west
2025-11-07,WH-TOOL-1001,50,29.99,online,northeast
2025-11-07,WH-TOOL-1002,20,54.99,retail,southeast
2025-11-07,WH-TOOL-1003,28,79.99,online,west
2025-11-07,WH-ELEC-2050,55,149.99,online,northeast
2025-11-07,WH-ELEC-2051,68,199.99,marketplace,northeast
2025-11-07,WH-SAFE-4001,23,34.99,wholesale,midwest
2025-11-14,WH-TOOL-1001,46,29.99,online,northeast
2025-11-14,WH-ELEC-2050,62,149.99,retail,northeast
2025-11-14,WH-ELEC-2051,75,199.99,online,northeast
2025-11-14,WH-SAFE-4001,22,34.99,retail,northeast
2025-11-14,WH-SAFE-4002,14,89.99,wholesale,midwest
2025-11-21,WH-TOOL-1001,52,29.99,online,northeast
2025-11-21,WH-TOOL-1002,22,54.99,retail,southeast
2025-11-21,WH-ELEC-2050,75,149.99,retail,northeast
2025-11-21,WH-ELEC-2051,88,199.99,online,northeast
2025-11-21,WH-OUTD-3001,15,89.99,retail,west
2025-11-28,WH-TOOL-1001,48,29.99,retail,southeast
2025-11-28,WH-ELEC-2050,95,149.99,online,northeast
2025-11-28,WH-ELEC-2051,112,199.99,marketplace,northeast
2025-11-28,WH-SAFE-4001,26,34.99,wholesale,midwest
2025-11-28,WH-OUTD-3001,12,89.99,retail,west
2025-12-01,WH-TOOL-1001,50,29.99,online,northeast
2025-12-01,WH-TOOL-1002,24,54.99,retail,southeast
2025-12-01,WH-ELEC-2050,105,149.99,retail,northeast
2025-12-01,WH-ELEC-2051,125,199.99,online,northeast
2025-12-01,WH-SAFE-4001,24,34.99,retail,midwest
2025-12-07,WH-TOOL-1001,55,29.99,online,northeast
2025-12-07,WH-TOOL-1003,30,79.99,retail,west
2025-12-07,WH-ELEC-2050,118,149.99,online,northeast
2025-12-07,WH-ELEC-2051,138,199.99,online,northeast
2025-12-07,WH-SAFE-4001,22,34.99,wholesale,midwest
2025-12-07,WH-SAFE-4002,16,89.99,wholesale,midwest
2025-12-14,WH-TOOL-1001,52,29.99,retail,southeast
2025-12-14,WH-TOOL-1002,26,54.99,online,midwest
2025-12-14,WH-ELEC-2050,125,149.99,retail,northeast
2025-12-14,WH-ELEC-2051,148,199.99,online,northeast
2025-12-14,WH-SAFE-4001,25,34.99,retail,northeast
2025-12-21,WH-TOOL-1001,48,29.99,online,northeast
2025-12-21,WH-ELEC-2050,138,149.99,retail,northeast
2025-12-21,WH-ELEC-2051,162,199.99,marketplace,northeast
2025-12-21,WH-SAFE-4001,28,34.99,wholesale,midwest
2025-12-21,WH-OUTD-3001,8,89.99,retail,west
2025-12-28,WH-TOOL-1001,44,29.99,retail,southeast
2025-12-28,WH-TOOL-1002,20,54.99,retail,southeast
2025-12-28,WH-ELEC-2050,115,149.99,online,northeast
2025-12-28,WH-ELEC-2051,135,199.99,online,northeast
2025-12-28,WH-SAFE-4001,23,34.99,wholesale,midwest
